Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
KIRC	1791	0.11511	1	1	0	0.152205158734851	DNTT
KIRC	93377	0.16076	1	1	0	0.204246657577823	OPALIN
KIRC	7093	0.76361	1	1	0	0.780759996342857	TLL2
KIRC	56889	1.0811e-15	98.786	144.367	-0.547362500804491	4.39075405847104e-15	TM9SF3
KIRC	118788	2.002e-05	31.176	25.287	0.302039947971551	4.0978065342729e-05	PIK3AP1
KIRC	693192	0.31776	1	1	0	0.345689000437765	MIR607
KIRC	84458	1.1343e-10	8.887	14.006	-0.656276599306815	3.3296575328084e-10	LCOR
KIRC	6585	0.47987	1	1	0	0.507387718999669	SLIT1
KIRC	100505540	0.10131	1	1	0	0.135593289450063	SLIT1-AS1
KIRC	84986	1.4805e-11	6.095	8.082	-0.407086130675885	4.60412444382647e-11	ARHGAP19
KIRC	10023	1.0045e-08	3.112	4.311	-0.470180502192301	2.5874291143614e-08	FRAT1
KIRC	23401	2.3767e-12	6.821	10.372	-0.604638943586658	7.78861131135531e-12	FRAT2
KIRC	23223	0.057839	15.346	15.221	0.0117995148610959	0.0818854965185467	RRP12
KIRC	5223	1e-20	120.168	79.798	0.590628273031402	5.66341093670886e-20	PGAM1
KIRC	51013	0.047464	35.815	35.397	0.0169368492143891	0.068505165903078	EXOSC1
KIRC	84287	4.4521e-13	42.119	52.654	-0.322071949610453	1.52793721957956e-12	ZDHHC16
KIRC	64210	5.0047e-09	42.087	49.655	-0.238564320231374	1.31286793572601e-08	MMS19
KIRC	80019	4.6136e-12	20.107	36.326	-0.853304668578378	1.48343556066705e-11	UBTD1
KIRC	26287	8.8222e-12	1	23.394	-4.54806665545671	2.78736156519282e-11	ANKRD2
KIRC	112817	1e-20	14.832	85.328	-2.52430608405746	5.66341093670886e-20	HOGA1
KIRC	414157	9.2374e-06	1	1	0	1.93975859919256e-05	C10orf62
KIRC	118812	1e-20	10.826	25.863	-1.25638933828974	5.66341093670886e-20	MORN4
KIRC	55361	1e-20	15.224	26.138	-0.779801288009784	5.66341093670886e-20	PI4K2A
KIRC	60370	1.0547e-14	14.062	33.706	-1.26120362860115	4.00703587565823e-14	AVPI1
KIRC	83742	1e-20	35.894	16.761	1.09863447882279	5.66341093670886e-20	MARVELD1
KIRC	118813	0.84627	35.416	36.002	-0.023675775504729	0.858670544844168	ZFYVE27
KIRC	6425	0.63464	1	1	0	0.657775975903614	SFRP5
KIRC	100505561	0.31776	1	1	0	0.345689000437765	LINC00866
KIRC	401647	3.5206e-16	1.063	1	0.0881415968690176	1.47760817414149e-15	GOLGA7B
KIRC	55118	0.49594	2.218	13.552	-2.61117450917049	0.523142670376833	CRTAC1
KIRC	27291	0.50088	12.446	13.232	-0.0883489882839006	0.527980114996701	R3HCC1L
KIRC	84171	2.2337e-07	7.973	16.201	-1.02288829139457	5.25662186447811e-07	LOXL4
KIRC	84795	0.039093	10.955	9.686	0.177616576275961	0.0574779146726269	PYROXD2
KIRC	100302133	0.31776	1	1	0	0.345689000437765	MIR1287
