Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
LUAD	79659	0.0010466	1.926	3.874	-1.00821625075979	0.00179138116888104	DYNC2H1
LUAD	100616457	0.059371	1	1	0	0.0778576334431631	MIR4693
LUAD	80310	2.2117e-05	6.224	4.101	0.601866316658976	4.53094566596194e-05	PDGFD
LUAD	414301	0.011443	1	1	0	0.016874885264342	DDI1
LUAD	102723895	0.40776	1	1	0	0.434217933011611	LINC02552
LUAD	837	1.4401e-10	159.069	132.338	0.265425323263145	4.27427203355973e-10	CASP4
LUAD	838	4.652e-11	1	2.394	-1.25942315228141	1.42592661257049e-10	CASP5
LUAD	834	1e-20	45.337	82.677	-0.866797110895816	5.48805712878601e-20	CASP1
LUAD	114769	1e-20	24.745	62.446	-1.33547212026107	5.48805712878601e-20	CARD16
LUAD	440068	1.0437e-12	1	1	0	3.56708202729643e-12	CARD17
LUAD	59082	2.2405e-09	1	1	0	6.15709290998767e-09	CARD18
LUAD	2893	0.14243	1	1	0	0.173026131581816	GRIA4
LUAD	84437	7.3568e-13	15.933	13.699	0.217947352129573	2.54203103255814e-12	MSANTD4
LUAD	143879	0.019981	4.09	4.126	-0.0126429780573737	0.0283749552058111	KBTBD3
LUAD	60496	1e-20	33.398	24.281	0.459933871747242	5.48805712878601e-20	AASDHPPT
LUAD	2977	1.3638e-14	1.366	7.311	-2.42011126815441	5.23961568695053e-14	GUCY1A2
LUAD	143884	7.1465e-06	11.922	15.744	-0.401175847368413	1.52166046713794e-05	CWF19L2
LUAD	91801	0.01625	5.882	6.406	-0.12311701388762	0.0234061752730563	ALKBH8
LUAD	55531	0.032848	1	1	0	0.044926871801166	ELMOD1
LUAD	6588	0.054848	1	1	0	0.0723094899443984	SLN
LUAD	54733	1e-20	36.023	9.069	1.98990294927365	5.48805712878601e-20	SLC35F2
LUAD	54734	3.2894e-05	1	1	0	6.64228121772221e-05	RAB39A
LUAD	8065	2.4479e-05	14.476	14.31	0.0166393407585086	4.99783320813485e-05	CUL5
LUAD	38	1.0632e-15	56.885	82.888	-0.543114974014114	4.35739948510482e-15	ACAT1
LUAD	4863	5.4633e-07	9.346	8.104	0.205714863063662	1.27191650579756e-06	NPAT
LUAD	472	8.08e-05	10.452	10.25	0.0281551200398501	0.00015760455102398	ATM
LUAD	160140	7.1536e-06	1	1	0	1.52275342120344e-05	C11orf65
LUAD	143888	6.3633e-16	30.827	25.47	0.27539553749712	2.64094724581006e-15	POGLUT3
LUAD	23086	0.65764	6.836	10.016	-0.551082165256479	0.6796579030837	EXPH5
LUAD	1662	1e-20	19.094	13.245	0.527671520724273	5.48805712878601e-20	DDX10
LUAD	399947	0.31776	1	1	0	0.342999812079237	C11orf87
LUAD	5962	2.8699e-17	80.648	175.315	-1.12023877740653	1.28902582224909e-16	RDX
LUAD	85463	9.577e-11	4.04	8.492	-1.07174907826622	2.8750350080819e-10	ZC3H12C
LUAD	2230	0.00022786	22.209	27.565	-0.311693167009703	0.000425283964492086	FDX1
LUAD	57569	0.54064	2.581	4.382	-0.763659342896252	0.566117444089457	ARHGAP20
LUAD	105369490	0.22338	1	1	0	0.258232795269464	LINC02550
LUAD	341032	7.1848e-05	1	1	0	0.000140821069035265	C11orf53
LUAD	120376	0.00028609	4.825	3.072	0.651350726321649	0.000527865537710075	COLCA2
LUAD	100616330	0.0027083	1	1	0	0.00435937325581395	MIR4491
LUAD	5450	8.1566e-16	14.29	4.05	1.81901210332383	3.36454088839534e-15	POU2AF1
LUAD	100132078	0.31776	1	1	0	0.342999812079237	AP002008.3
LUAD	54766	0.20158	1	1	0	0.235560688968121	BTG4
LUAD	143903	2.7613e-08	7.503	15.216	-1.02004968795844	7.03728909090909e-08	LAYN
LUAD	23235	2.3377e-12	14.309	29.409	-1.03933487753803	7.80295340721881e-12	SIK2
LUAD	5519	5.3528e-18	23.446	17.352	0.434239854920729	2.50573101449275e-17	PPP2R1B
LUAD	79796	2.6363e-07	2.699	2.618	0.0439598795216109	6.29475231412042e-07	ALG9
LUAD	91893	0.045036	1.72	1.744	-0.0199914751874661	0.0602326771483437	FDXACB1
LUAD	64776	1e-20	13.679	10.024	0.448504446432866	5.48805712878601e-20	C11orf1
LUAD	1410	1.9863e-20	22.171	119.868	-2.43470081976622	1.07110254294701e-19	CRYAB
LUAD	91894	0.052319	1	1	0	0.0692418974465558	C11orf52
LUAD	85458	1.2334e-15	7.632	20.094	-1.39663170542236	5.03549840630152e-15	DIXDC1
LUAD	1737	1e-20	34.55	25.363	0.445960309412865	5.48805712878601e-20	DLAT
LUAD	120379	0.016207	3.957	5.122	-0.372300187624768	0.0233532946919247	PIH1D2
LUAD	55216	1.1509e-13	24.726	21.689	0.189065332269546	4.17210609954457e-13	NKAPD1
LUAD	26521	2.4271e-10	60.138	40.811	0.55931882755695	7.11279128205128e-10	TIMM8B
LUAD	6392	0.78071	91.516	90.841	0.0106804082121904	0.797382510884011	SDHD
LUAD	3606	0.0013828	46.48	65.474	-0.494312051376643	0.00232820605877465	IL18
LUAD	56158	0.0022244	1	1	0	0.00362550846862659	TEX12
LUAD	83875	0.0045685	1	2.192	-1.13224779829844	0.00712413654492023	BCO2
LUAD	5805	1e-20	46.631	25.465	0.872773651313721	5.48805712878601e-20	PTS
