Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
THCA	140902	0.1183	1	1	0	0.162893506129597	R3HDML
THCA	79183	2.3039e-06	12.546	15.77	-0.329955192367137	6.33008923679061e-06	TTPAL
THCA	10955	0.70214	185.357	194.407	-0.0687735673951343	0.734695972318339	SERINC3
THCA	11142	0.47571	136.407	135.585	0.00872010157681213	0.519937486654804	PKIG
THCA	100	0.85389	7.733	5.981	0.370641495442482	0.871808738832329	ADA
THCA	8839	0.0011465	1.596	8.421	-2.39953091301133	0.00225581621621622	CCN5
THCA	60598	1e-20	8.298	3.711	1.16095565617412	1.62178217821782e-19	KCNK15
THCA	140730	4.4767e-14	2.24	12.36	-2.46410810584677	3.35983257731959e-13	RIMS4
THCA	7529	0.58854	304.724	299.27	0.0260554661979404	0.628748423283874	YWHAB
THCA	80336	0.0010696	21.346	16.113	0.405740623042207	0.00211169722780233	PABPC1L
THCA	10953	1e-20	82.295	49.049	0.746581056038166	1.62178217821782e-19	TOMM34
THCA	100505826	0.97225	1	1	0	0.97607365033965	STK4-AS1
THCA	6789	0.0026982	17.051	18.764	-0.138111053633461	0.00504046941646075	STK4
THCA	3787	0.68426	1	1	0	0.718626552682197	KCNS1
THCA	149708	0.0085811	1	1	0	0.0148857207307387	WFDC5
THCA	128488	0.014412	1	1	0	0.0240906770983927	WFDC12
THCA	5266	7.6952e-05	1	1	0	0.000175268657242178	PI3
THCA	6406	0.27975	1	1	0	0.34215456412171	SEMG1
THCA	6407	0.27524	1	1	0	0.337806818181818	SEMG2
THCA	6590	4.9641e-17	184.371	35.72	2.3678077643039	5.40578114127424e-16	SLPI
THCA	8785	0.062626	1	1	0	0.0921734673156121	MATN4
THCA	6385	1e-20	1064.633	169.302	2.65268526940015	1.62178217821782e-19	SDC4
THCA	90196	1.3937e-14	48.068	62.742	-0.384354740619785	1.12411026672138e-13	SYS1
THCA	27296	6.258e-09	1	1.263	-0.336854639125465	2.39920514921006e-08	TP53TG5
THCA	55861	0.97237	1	1	0	0.97614426557712	DBNDD2
THCA	51604	0.5204	211.202	224.874	-0.0904933694038064	0.563425083998898	PIGT
THCA	102465487	0.28198	1	1	0	0.344389143780291	MIR6812
THCA	10406	0.029132	650.694	632.205	0.0415868054980894	0.0459602369371539	WFDC2
THCA	10816	0.31636	1	1	0	0.364949768637532	SPINT3
THCA	140870	0.042502	1	1	0	0.0649136727272727	WFDC6
THCA	57119	0.85036	1	1	0	0.868520455183164	EPPIN
THCA	90199	0.115	1	1	0	0.158984385989591	WFDC8
THCA	259240	0.31779	1	1	0	0.364949768637532	WFDC9
THCA	140832	0.31779	1	1	0	0.364949768637532	WFDC10A
THCA	259239	0.28269	1	1	0	0.345054098360656	WFDC11
THCA	280664	0.093913	1	1	0	0.132630688892082	WFDC10B
THCA	164237	0.2582	1	1	0	0.320382501104728	WFDC13
THCA	100500897	0.31779	1	1	0	0.364949768637532	MIR3617
THCA	140686	0.30219	1.358	1.829	-0.429571595503985	0.364949768637532	WFDC3
THCA	116092	0.00012071	66.836	61.584	0.118069817328542	0.000267735924170616	DNTTIP1
THCA	11065	0.78399	7.47	2.169	1.78407819000433	0.809311876477076	UBE2C
THCA	7125	0.0020464	3.72	2.058	0.854059639101425	0.00388788308525034	TNNC2
THCA	90203	0.67436	13.544	14.432	-0.0916173653597392	0.709518261428113	SNX21
THCA	10005	0.21616	37.345	37.253	0.00355848711905634	0.274278029823769	ACOT8
THCA	140831	0.0023884	4.671	5.654	-0.275540438030982	0.00449462808999521	ZSWIM3
THCA	90204	0.0042839	12.278	14.993	-0.28821351094017	0.00779309008792226	ZSWIM1
THCA	128497	4.6273e-08	2.32	4.272	-0.88078684167262	1.57714945032079e-07	SPATA25
THCA	140825	0.2996	1	1	0	0.362854846580407	NEURL2
THCA	5476	1e-20	88.183	49.703	0.827167625141373	1.62178217821782e-19	CTSA
THCA	5360	0.0077418	44.814	43.775	0.0338423253949029	0.013541266417512	PLTP
THCA	63935	4.1627e-09	67.955	82.325	-0.276750901158037	1.63742307784671e-08	PCIF1
THCA	63925	0.020243	17.889	19.794	-0.145990441140761	0.0328541332672777	ZNF335
THCA	4318	0.16277	13.928	10.703	0.379972874232692	0.215027129032258	MMP9
THCA	57468	0.00067085	1	1	0	0.00136235433412543	SLC12A5
THCA	57727	1.8642e-14	37.407	50.943	-0.44557565350005	1.47693330108827e-13	NCOA5
THCA	958	4.0281e-06	75.517	51.758	0.545019582416822	1.07357740474576e-05	CD40
THCA	64405	1e-20	2.071	1	1.05032755355842	1.62178217821782e-19	CDH22
THCA	51006	1e-20	39.777	32.101	0.309316231119601	1.62178217821782e-19	SLC35C2
THCA	63916	2.7507e-20	42.764	31.34	0.448391624376664	4.25472755310779e-19	ELMO2
THCA	55713	1.1645e-07	7.752	11.699	-0.593744741404755	3.76780444444444e-07	ZNF334
THCA	128506	0.10975	1	1	0	0.152487877288471	OCSTAMP
THCA	64849	0.004133	2.935	3.038	-0.0497613665046688	0.00754021236309634	SLC13A3
THCA	112858	0.30678	17.805	18.251	-0.0356930779090185	0.364949768637532	TP53RK
THCA	81031	0.07721	36.313	41.984	-0.209353501696273	0.111231292875989	SLC2A10
THCA	2139	2.5525e-19	17.957	50.516	-1.49219406171228	3.56081902058197e-18	EYA2
THCA	100500814	0.0057962	1	1	0	0.0103535175572519	MIR3616
THCA	23613	0.0033187	26.228	24.02	0.126871648931031	0.00612510490140845	ZMYND8
THCA	100131496	0.13086	1	1	0	0.177772075471698	AL031666.2
THCA	8202	0.0012679	17.327	19.232	-0.150486913529422	0.00247830572792363	NCOA3
