Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
PCPG	4097	0.11317	25.394	18.414	0.46368461099749	0.201853135538561	MAFG
PCPG	92659	3.0808e-10	8.748	1.854	2.23831197642256	3.04866895705521e-09	MAFG-DT
PCPG	5831	1e-20	15.206	2.283	2.73563793150941	2.02893081761006e-19	PYCR1
PCPG	255275	0.10003	1	1	0	0.185885241935484	MYADML2
PCPG	147111	0.076354	1	1	0	0.154077150125104	NOTUM
PCPG	79058	0.1754	53.695	46.02	0.222526769247416	0.272562813102119	ASPSCR1
PCPG	201254	0.66801	58.617	67.884	-0.211752443586318	0.719772965931864	CENPX
PCPG	201255	0.19688	15.068	8.482	0.829011550350958	0.295686629422719	LRRC45
PCPG	5881	1.0344e-07	33.139	7.17	2.2084850445181	8.28033349875931e-07	RAC3
PCPG	51181	0.50644	182.658	194.569	-0.0911369270545203	0.573556412146744	DCXR
PCPG	113523640	0.077449	1	1	0	0.155718587722032	DCXR-DT
PCPG	5986	0.27744	58.72	48.165	0.285866802396287	0.378818329571106	RFNG
PCPG	2873	0.088966	123.343	105.193	0.229637137069149	0.171584884017537	GPS1
PCPG	64118	0.30436	69.907	90.084	-0.365833964565389	0.395598801949718	DUS1L
PCPG	2194	0.83526	39.016	46.431	-0.251022475559118	0.865116254280822	FASN
PCPG	284001	0.02291	20.285	12.352	0.715668644825555	0.0644346982420456	CCDC57
PCPG	9123	0.0012494	12.065	15.071	-0.320947231121724	0.00553902574438846	SLC16A3
PCPG	1453	0.19291	127.58	118.007	0.112529742977123	0.291465612364374	CSNK1D
PCPG	101929511	0.31867	1	1	0	0.395598801949718	LINC01970
PCPG	924	0.0013057	2.225	1.402	0.666318986730499	0.00575042757679181	CD7
PCPG	6398	0.0001678	3.296	6.413	-0.960283164654575	0.000893763566318107	SECTM1
PCPG	400629	0.11772	1	1	0	0.207635166757791	TEX19
PCPG	79701	0.82945	30.55	28.822	0.0840019303755921	0.860152600450016	OGFOD3
PCPG	284004	0.35647	33.297	26.218	0.34483456294123	0.433430932160804	HEXD
PCPG	79415	0.57538	38.157	46	-0.269686113706224	0.636439526830105	CYBC1
PCPG	26502	0.24968	33.406	26.975	0.308484286484182	0.350127224516409	NARF
PCPG	3607	0.5143	27.373	30.395	-0.151080460298662	0.580623552055993	FOXK2
PCPG	56270	0.48551	109.761	118.267	-0.107682044481653	0.554328529463812	WDR45B
PCPG	10966	9.9452e-05	22.29	10.924	1.02889539738183	0.000549526951755638	RAB40B
PCPG	100616196	0.0015098	1	1	0	0.00654505908174692	MIR4525
PCPG	79672	0.57868	61.768	55.183	0.162635727782522	0.63946849052295	FN3KRP
PCPG	64122	0.065503	93.583	218.051	-1.22034722357629	0.138255937213865	FN3K
